epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,975.897,1.08168,0.6268,1.03177,0.9025,0.85507,0.90994,0.5469,1.24545,0.6324,1.08002,9.2476e-05,9.2476e-05,9.2476e-05
40,1001.07,1.07749,0.61541,1.03806,0.92232,0.86144,0.91377,0.5539,1.26037,0.61865,1.08377,9.2278e-05,9.2278e-05,9.2278e-05
41,1026.05,1.07705,0.62357,1.02511,0.93136,0.87067,0.91892,0.55772,1.23002,0.60946,1.06448,9.208e-05,9.208e-05,9.208e-05
42,1051.12,1.06294,0.62028,1.02736,0.92875,0.86513,0.91951,0.56459,1.23434,0.59123,1.06188,9.1882e-05,9.1882e-05,9.1882e-05
43,1076.22,1.04882,0.61003,1.01887,0.93435,0.8555,0.91845,0.56097,1.24626,0.5986,1.06329,9.1684e-05,9.1684e-05,9.1684e-05
44,1101.28,1.05305,0.60948,1.01703,0.93962,0.86278,0.91891,0.55521,1.24466,0.60054,1.07183,9.1486e-05,9.1486e-05,9.1486e-05
45,1126.24,1.05132,0.60517,1.02075,0.93794,0.86808,0.91546,0.56275,1.23462,0.59398,1.06068,9.1288e-05,9.1288e-05,9.1288e-05
46,1151.13,1.03297,0.58902,1.01663,0.93045,0.8707,0.91807,0.56602,1.21955,0.58203,1.05673,9.109e-05,9.109e-05,9.109e-05
47,1176.28,1.03256,0.5897,1.01546,0.94058,0.8559,0.91449,0.56319,1.22756,0.57963,1.05898,9.0892e-05,9.0892e-05,9.0892e-05
48,1201.46,1.02534,0.58685,1.00982,0.91538,0.87559,0.91967,0.56186,1.22631,0.58999,1.05667,9.0694e-05,9.0694e-05,9.0694e-05
49,1226.54,1.02436,0.58739,1.00923,0.93267,0.84498,0.91288,0.56527,1.22116,0.59307,1.05972,9.0496e-05,9.0496e-05,9.0496e-05
50,1251.4,1.01974,0.59184,1.00595,0.92487,0.84726,0.90882,0.55945,1.2284,0.61094,1.05676,9.0298e-05,9.0298e-05,9.0298e-05
51,1276.54,1.02419,0.57846,1.00994,0.93402,0.87077,0.91921,0.57042,1.21093,0.57085,1.04776,9.01e-05,9.01e-05,9.01e-05
52,1301.63,1.00763,0.57654,1.00214,0.92133,0.86443,0.91697,0.56851,1.21856,0.59253,1.04897,8.9902e-05,8.9902e-05,8.9902e-05
53,1326.45,1.01122,0.57862,1.00878,0.93781,0.87445,0.9254,0.57841,1.19328,0.56368,1.04475,8.9704e-05,8.9704e-05,8.9704e-05
54,1351.3,1.00401,0.5747,0.99989,0.92614,0.86423,0.91878,0.57292,1.20072,0.58998,1.03988,8.9506e-05,8.9506e-05,8.9506e-05
55,1376.15,1.00473,0.57643,1.0003,0.9286,0.86177,0.91613,0.56415,1.22398,0.5808,1.06516,8.9308e-05,8.9308e-05,8.9308e-05
56,1401.15,1.00118,0.56208,1.00181,0.92886,0.85185,0.91427,0.56068,1.2457,0.58567,1.0639,8.911e-05,8.911e-05,8.911e-05
57,1426.13,0.995,0.56546,0.99324,0.92421,0.87184,0.91705,0.57465,1.18556,0.56331,1.04433,8.8912e-05,8.8912e-05,8.8912e-05
58,1451.1,0.98388,0.55699,0.9917,0.92749,0.86802,0.91872,0.57199,1.20024,0.56723,1.04499,8.8714e-05,8.8714e-05,8.8714e-05
59,1475.94,0.994,0.5668,0.99512,0.93,0.87458,0.92525,0.57993,1.18184,0.55992,1.04149,8.8516e-05,8.8516e-05,8.8516e-05
60,1500.99,0.96754,0.54804,0.98361,0.94256,0.86304,0.91814,0.57448,1.19343,0.56632,1.04394,8.8318e-05,8.8318e-05,8.8318e-05
61,1526.17,0.96655,0.5446,0.98137,0.9382,0.86659,0.91811,0.57631,1.20136,0.57226,1.05257,8.812e-05,8.812e-05,8.812e-05
62,1551.3,0.96176,0.5451,0.98528,0.93947,0.86941,0.92189,0.57573,1.19525,0.56533,1.05022,8.7922e-05,8.7922e-05,8.7922e-05
63,1576.16,0.97882,0.54885,0.98514,0.93093,0.87469,0.92694,0.58093,1.16088,0.56041,1.03075,8.7724e-05,8.7724e-05,8.7724e-05
64,1601.21,0.97212,0.54219,0.98589,0.93093,0.88994,0.93022,0.59257,1.16389,0.54132,1.0397,8.7526e-05,8.7526e-05,8.7526e-05
65,1626.34,0.95098,0.54097,0.97761,0.94706,0.87402,0.9289,0.58646,1.16965,0.54754,1.03817,8.7328e-05,8.7328e-05,8.7328e-05
66,1651.56,0.94968,0.53538,0.97456,0.93476,0.85688,0.91781,0.57478,1.1815,0.56426,1.04384,8.713e-05,8.713e-05,8.713e-05
67,1676.76,0.95138,0.53881,0.97829,0.93551,0.87957,0.9266,0.58257,1.18113,0.54756,1.04774,8.6932e-05,8.6932e-05,8.6932e-05
68,1701.96,0.94676,0.534,0.97373,0.92425,0.86662,0.92047,0.57974,1.17486,0.55989,1.03882,8.6734e-05,8.6734e-05,8.6734e-05
69,1727.2,0.94795,0.53491,0.97658,0.93257,0.87865,0.92698,0.59033,1.15361,0.53505,1.02939,8.6536e-05,8.6536e-05,8.6536e-05
70,1752.37,0.936,0.52398,0.97867,0.91039,0.86953,0.91583,0.56636,1.20088,0.57258,1.05341,8.6338e-05,8.6338e-05,8.6338e-05
71,1777.45,0.94221,0.53363,0.97418,0.92951,0.86966,0.92314,0.58148,1.16846,0.55446,1.04173,8.614e-05,8.614e-05,8.614e-05
72,1802.67,0.94296,0.53122,0.9756,0.91564,0.85835,0.91798,0.57652,1.17706,0.56337,1.04173,8.5942e-05,8.5942e-05,8.5942e-05
73,1827.85,0.9445,0.53188,0.97212,0.93982,0.88536,0.93168,0.58625,1.14592,0.53128,1.03646,8.5744e-05,8.5744e-05,8.5744e-05
74,1852.99,0.92402,0.52028,0.97067,0.93611,0.88194,0.92889,0.5899,1.15183,0.5383,1.03077,8.5546e-05,8.5546e-05,8.5546e-05
75,1877.99,0.9237,0.52334,0.96305,0.94257,0.88647,0.93265,0.59491,1.14554,0.53954,1.03456,8.5348e-05,8.5348e-05,8.5348e-05
76,1903.21,0.9197,0.5224,0.97059,0.92836,0.88094,0.9203,0.58044,1.14532,0.54419,1.03386,8.515e-05,8.515e-05,8.515e-05
77,1928.4,0.92488,0.51762,0.96905,0.94155,0.88863,0.93326,0.59713,1.1253,0.52091,1.02622,8.4952e-05,8.4952e-05,8.4952e-05
78,1953.53,0.92749,0.51431,0.97288,0.93992,0.8816,0.92866,0.59278,1.14175,0.52534,1.03849,8.4754e-05,8.4754e-05,8.4754e-05
79,1978.52,0.92706,0.51753,0.96518,0.93561,0.87973,0.92482,0.59367,1.14234,0.5284,1.03415,8.4556e-05,8.4556e-05,8.4556e-05
80,2003.41,0.90912,0.50516,0.96345,0.93296,0.88583,0.93286,0.59893,1.13301,0.53242,1.02865,8.4358e-05,8.4358e-05,8.4358e-05
81,2028.27,0.91054,0.50715,0.96321,0.92887,0.88537,0.93084,0.60007,1.11297,0.51717,1.02068,8.416e-05,8.416e-05,8.416e-05
82,2053.16,0.91103,0.5151,0.9617,0.93673,0.88415,0.92774,0.60007,1.10944,0.52027,1.01706,8.3962e-05,8.3962e-05,8.3962e-05
83,2078.09,0.90747,0.50539,0.95978,0.93856,0.88826,0.92649,0.59158,1.13531,0.52631,1.02653,8.3764e-05,8.3764e-05,8.3764e-05
84,2102.92,0.89877,0.50585,0.96105,0.92988,0.88521,0.92738,0.60223,1.11819,0.52198,1.01731,8.3566e-05,8.3566e-05,8.3566e-05
85,2127.76,0.89856,0.50608,0.96304,0.94115,0.88345,0.92822,0.59287,1.14646,0.5292,1.03134,8.3368e-05,8.3368e-05,8.3368e-05
86,2152.65,0.89924,0.50401,0.95503,0.94518,0.87772,0.92619,0.59776,1.12021,0.5218,1.01895,8.317e-05,8.317e-05,8.317e-05
87,2177.47,0.89699,0.49873,0.9638,0.92645,0.88214,0.92179,0.59183,1.12971,0.52976,1.0254,8.2972e-05,8.2972e-05,8.2972e-05
88,2202.31,0.8924,0.50096,0.95389,0.93477,0.8851,0.92216,0.59753,1.11301,0.5282,1.02666,8.2774e-05,8.2774e-05,8.2774e-05
89,2227.03,0.88064,0.50055,0.95557,0.93601,0.89047,0.92922,0.60088,1.0981,0.51435,1.01855,8.2576e-05,8.2576e-05,8.2576e-05
90,2251.79,0.88865,0.4943,0.95183,0.93484,0.8877,0.93002,0.60811,1.09677,0.51044,1.0109,8.2378e-05,8.2378e-05,8.2378e-05
91,2276.7,0.87332,0.49126,0.94981,0.94246,0.8865,0.93133,0.60677,1.09251,0.50824,1.01468,8.218e-05,8.218e-05,8.218e-05
92,2301.58,0.88197,0.49628,0.95056,0.93779,0.87921,0.92663,0.60516,1.09732,0.51653,1.01154,8.1982e-05,8.1982e-05,8.1982e-05
93,2326.47,0.86814,0.48817,0.9433,0.92629,0.89269,0.93168,0.60778,1.10586,0.5162,1.01545,8.1784e-05,8.1784e-05,8.1784e-05
94,2351.34,0.86721,0.48402,0.9486,0.93989,0.88536,0.93493,0.61034,1.10224,0.50981,1.01737,8.1586e-05,8.1586e-05,8.1586e-05
95,2376.28,0.87753,0.48786,0.95302,0.94008,0.87363,0.9271,0.60335,1.0971,0.51779,1.01399,8.1388e-05,8.1388e-05,8.1388e-05
96,2401.03,0.86454,0.49174,0.94857,0.94564,0.87914,0.93105,0.61033,1.0801,0.51253,1.00722,8.119e-05,8.119e-05,8.119e-05
97,2425.82,0.86388,0.48704,0.94436,0.9369,0.88538,0.92542,0.61067,1.08648,0.5152,1.01072,8.0992e-05,8.0992e-05,8.0992e-05
98,2450.68,0.86785,0.48641,0.95275,0.93373,0.89321,0.9307,0.60963,1.08722,0.50688,1.02244,8.0794e-05,8.0794e-05,8.0794e-05
99,2475.49,0.85428,0.47859,0.94455,0.93843,0.88106,0.92893,0.61109,1.08681,0.5151,1.01774,8.0596e-05,8.0596e-05,8.0596e-05
100,2500.35,0.86452,0.48525,0.94521,0.92392,0.89158,0.92714,0.61435,1.0784,0.50324,1.01209,8.0398e-05,8.0398e-05,8.0398e-05
