epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1720.88,1.2521,0.76617,0.91124,0.92833,0.82433,0.87801,0.51705,1.22799,0.74681,0.92297,0.0011882,0.0011882,0.0011882
43,1761.54,1.27891,0.76961,0.93281,0.92352,0.83182,0.88214,0.57394,1.10878,0.69829,0.9045,0.0011684,0.0011684,0.0011684
44,1802.33,1.26094,0.78327,0.94285,0.89989,0.81721,0.88102,0.57256,1.10366,0.71195,0.90291,0.0011486,0.0011486,0.0011486
45,1843.1,1.19627,0.72556,0.91224,0.93161,0.86818,0.90313,0.58377,1.12206,0.66462,0.91403,0.0011288,0.0011288,0.0011288
46,1883.7,1.17615,0.72572,0.91826,0.93561,0.8586,0.89549,0.58529,1.08126,0.66466,0.89867,0.001109,0.001109,0.001109
47,1924.61,1.16377,0.69797,0.91449,0.91382,0.87727,0.894,0.56971,1.0865,0.66761,0.89531,0.0010892,0.0010892,0.0010892
48,1965.43,1.17188,0.71702,0.92121,0.92828,0.85455,0.89773,0.5838,1.04937,0.68433,0.88498,0.0010694,0.0010694,0.0010694
49,2006.44,1.15522,0.69898,0.88895,0.90983,0.87273,0.89162,0.56366,1.05742,0.67331,0.88342,0.0010496,0.0010496,0.0010496
50,2047.76,1.17108,0.71826,0.91846,0.91558,0.86818,0.907,0.57905,1.07002,0.64578,0.88586,0.0010298,0.0010298,0.0010298
51,2088.36,1.1714,0.74243,0.94276,0.94025,0.85839,0.90922,0.58564,1.08327,0.6681,0.89404,0.00101,0.00101,0.00101
52,2129.04,1.20536,0.71638,0.9471,0.86457,0.80455,0.88584,0.57552,1.06803,0.67258,0.89491,0.0009902,0.0009902,0.0009902
53,2169.74,1.15112,0.73054,0.90476,0.9221,0.80708,0.88302,0.57793,1.08086,0.6808,0.89635,0.0009704,0.0009704,0.0009704
54,2210.27,1.13802,0.69968,0.90181,0.94174,0.84091,0.89796,0.59807,1.03756,0.62853,0.88681,0.0009506,0.0009506,0.0009506
55,2250.82,1.08803,0.6557,0.91193,0.93198,0.87185,0.89688,0.57607,1.06286,0.64173,0.89255,0.0009308,0.0009308,0.0009308
56,2292.68,1.1294,0.64844,0.90655,0.93227,0.8759,0.89515,0.58752,1.03987,0.62813,0.88343,0.000911,0.000911,0.000911
57,2333.82,1.1109,0.66438,0.89774,0.91451,0.88182,0.89181,0.5884,1.04518,0.63362,0.88515,0.0008912,0.0008912,0.0008912
58,2375.27,1.10202,0.65873,0.90795,0.92967,0.86818,0.89584,0.6123,1.02105,0.61794,0.88907,0.0008714,0.0008714,0.0008714
59,2416.56,1.05115,0.62655,0.8931,0.9195,0.86364,0.90316,0.62281,1.02135,0.60065,0.88395,0.0008516,0.0008516,0.0008516
