epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,17132.5,1.7049,1.02522,1.10977,0.85268,0.75708,0.80255,0.40038,1.60165,0.90955,1.04724,0.005842,0.005842,0.005842
44,17511,1.68119,0.97392,1.09458,0.88492,0.72968,0.80033,0.38518,1.63575,0.88647,1.05901,0.005743,0.005743,0.005743
45,17890.5,1.71037,0.99833,1.10372,0.83711,0.75434,0.80603,0.40187,1.57888,0.87209,1.04075,0.005644,0.005644,0.005644
46,18269.6,1.67625,0.95838,1.09836,0.8313,0.76505,0.80717,0.39868,1.57689,0.95545,1.04203,0.005545,0.005545,0.005545
47,18648.6,1.64491,0.95594,1.09338,0.89815,0.7409,0.81879,0.41932,1.53472,0.82388,1.02442,0.005446,0.005446,0.005446
48,19027.5,1.65913,0.9626,1.09345,0.87564,0.72016,0.79804,0.39707,1.54538,0.87555,1.02434,0.005347,0.005347,0.005347
49,19405.8,1.68153,0.99611,1.1019,0.84083,0.74775,0.79263,0.38812,1.56273,0.97188,1.04428,0.005248,0.005248,0.005248
50,19784.1,1.56466,0.91333,1.06393,0.87946,0.75294,0.82029,0.42201,1.53393,0.84606,1.02556,0.005149,0.005149,0.005149
51,20163,1.66634,0.96608,1.1094,0.8815,0.77443,0.82958,0.42331,1.52721,0.82592,1.01619,0.00505,0.00505,0.00505
52,20541.3,1.62096,0.88912,1.05488,0.90024,0.76712,0.82741,0.42972,1.52661,0.8002,1.02125,0.004951,0.004951,0.004951
53,20919,1.63161,0.92287,1.06916,0.88352,0.76073,0.81136,0.42174,1.54243,0.83147,1.0208,0.004852,0.004852,0.004852
54,21297.3,1.58316,0.87231,1.05835,0.89099,0.77169,0.83713,0.43471,1.51144,0.79995,1.0148,0.004753,0.004753,0.004753
55,21675.6,1.58117,0.87525,1.05466,0.88337,0.75525,0.81644,0.41876,1.51942,0.80648,1.02623,0.004654,0.004654,0.004654
56,22054.4,1.57968,0.86464,1.06435,0.89285,0.79143,0.83629,0.43904,1.50666,0.78025,1.01168,0.004555,0.004555,0.004555
57,22432.7,1.60144,0.87298,1.07881,0.8986,0.78506,0.8479,0.45331,1.48207,0.77989,1.01818,0.004456,0.004456,0.004456
58,22811.3,1.61152,0.86623,1.0548,0.89255,0.79178,0.8355,0.42226,1.54372,0.76964,1.01735,0.004357,0.004357,0.004357
59,23189.7,1.58528,0.85044,1.05943,0.87074,0.76281,0.82594,0.42628,1.48914,0.79853,1.01198,0.004258,0.004258,0.004258
60,23568,1.55105,0.83117,1.0418,0.90302,0.79936,0.85096,0.45762,1.45065,0.74181,0.99576,0.004159,0.004159,0.004159
61,23946.4,1.55455,0.84688,1.06222,0.88689,0.78051,0.82043,0.42334,1.46898,0.78422,1.00147,0.00406,0.00406,0.00406
62,24324.7,1.58144,0.86874,1.0819,0.88888,0.79361,0.83997,0.44094,1.46396,0.7644,1.00248,0.003961,0.003961,0.003961
63,24702.8,1.5213,0.80882,1.05045,0.89658,0.79963,0.8499,0.4591,1.46854,0.71487,0.99991,0.003862,0.003862,0.003862
64,25080.6,1.54179,0.81134,1.03937,0.91128,0.8067,0.86035,0.46282,1.42617,0.71717,0.98889,0.003763,0.003763,0.003763
65,25458.8,1.51658,0.80161,1.05598,0.90658,0.78877,0.85352,0.46882,1.42177,0.71854,0.99314,0.003664,0.003664,0.003664
66,25836.9,1.50032,0.81052,1.01907,0.90259,0.81553,0.85375,0.46735,1.40529,0.71762,0.98391,0.003565,0.003565,0.003565
67,26215,1.45604,0.77651,1.0306,0.89022,0.79726,0.84482,0.46028,1.43153,0.71807,0.98871,0.003466,0.003466,0.003466
68,26592.8,1.4916,0.79893,1.04365,0.92072,0.79817,0.86105,0.48557,1.37079,0.67918,0.9777,0.003367,0.003367,0.003367
69,26970.7,1.49081,0.79016,1.03303,0.91673,0.77808,0.84321,0.45643,1.40788,0.71861,0.97967,0.003268,0.003268,0.003268
70,27349,1.4494,0.77043,1.01012,0.91874,0.80183,0.8599,0.47907,1.35779,0.68874,0.97105,0.003169,0.003169,0.003169
71,27726.8,1.46965,0.76457,1.03605,0.91437,0.81005,0.85782,0.47977,1.38537,0.68912,0.97338,0.00307,0.00307,0.00307
72,28105.1,1.4703,0.75558,1.03242,0.91209,0.8137,0.85803,0.48347,1.36622,0.67919,0.97079,0.002971,0.002971,0.002971
73,28483.2,1.48303,0.76888,1.04334,0.91477,0.82336,0.86028,0.49267,1.35593,0.67036,0.96696,0.002872,0.002872,0.002872
74,28861.6,1.42046,0.75341,1.03027,0.89037,0.82009,0.85619,0.47799,1.34537,0.69873,0.97171,0.002773,0.002773,0.002773
75,29240.1,1.44799,0.75311,1.005,0.92214,0.8137,0.8677,0.4927,1.34682,0.66677,0.96187,0.002674,0.002674,0.002674
76,29619,1.44881,0.75227,1.00935,0.92051,0.81436,0.87425,0.4976,1.3379,0.66999,0.9609,0.002575,0.002575,0.002575
77,29997.6,1.42695,0.73324,1.02697,0.91361,0.81735,0.86596,0.49159,1.33834,0.66296,0.96233,0.002476,0.002476,0.002476
78,30376.3,1.46615,0.75578,1.02289,0.91347,0.81644,0.8546,0.48162,1.32762,0.66222,0.96152,0.002377,0.002377,0.002377
79,30754.8,1.41799,0.76448,1.0046,0.90563,0.82009,0.86618,0.48247,1.36725,0.68394,0.96551,0.002278,0.002278,0.002278
80,31133.5,1.42203,0.72513,1.00223,0.92255,0.82674,0.87565,0.50783,1.2726,0.63757,0.94592,0.002179,0.002179,0.002179
81,31512,1.35634,0.69723,1.0052,0.92027,0.83277,0.87862,0.51583,1.2825,0.62779,0.94966,0.00208,0.00208,0.00208
82,31890.6,1.36296,0.70429,1.00002,0.92336,0.83379,0.87545,0.51448,1.29507,0.62637,0.94494,0.001981,0.001981,0.001981
83,32268.8,1.35469,0.69592,1.00896,0.92308,0.83293,0.87814,0.51959,1.27508,0.61025,0.94587,0.001882,0.001882,0.001882
84,32646.9,1.354,0.68502,0.98784,0.91,0.84031,0.87542,0.51716,1.27204,0.61255,0.94283,0.001783,0.001783,0.001783
85,33025.2,1.40963,0.72772,1.00059,0.92505,0.82922,0.87447,0.51803,1.2425,0.61086,0.93939,0.001684,0.001684,0.001684
86,33403.8,1.37565,0.70046,0.99664,0.94896,0.81494,0.87837,0.51396,1.26369,0.61887,0.94148,0.001585,0.001585,0.001585
87,33781.8,1.35913,0.69317,0.9752,0.93769,0.83105,0.88652,0.52941,1.23673,0.60366,0.93619,0.001486,0.001486,0.001486
88,34160,1.34619,0.68926,1.00042,0.93721,0.83147,0.87993,0.52121,1.26906,0.61019,0.93712,0.001387,0.001387,0.001387
89,34537.9,1.35762,0.68436,0.98874,0.94218,0.82831,0.87886,0.52588,1.23193,0.60268,0.93118,0.001288,0.001288,0.001288
90,34915.8,1.33979,0.68331,0.98312,0.93329,0.83379,0.88434,0.5313,1.22565,0.60398,0.92882,0.001189,0.001189,0.001189
91,35291.8,1.37003,0.67284,0.98634,0.93182,0.81918,0.8742,0.51979,1.25146,0.62241,0.9386,0.00109,0.00109,0.00109
92,35667.9,1.29582,0.64164,0.98071,0.93712,0.83029,0.87497,0.52232,1.23197,0.60271,0.93161,0.000991,0.000991,0.000991
93,36044.3,1.31894,0.64446,0.97859,0.94045,0.82202,0.8774,0.52996,1.22591,0.59914,0.92971,0.000892,0.000892,0.000892
94,36420.6,1.32013,0.65073,0.97476,0.92945,0.83288,0.8831,0.53678,1.20708,0.58708,0.92594,0.000793,0.000793,0.000793
95,36796.7,1.2832,0.63036,0.96414,0.92049,0.83379,0.88063,0.528,1.23088,0.60096,0.92827,0.000694,0.000694,0.000694
96,37172.3,1.29077,0.63451,0.95649,0.94325,0.82648,0.88688,0.54418,1.19988,0.57929,0.9236,0.000595,0.000595,0.000595
97,37548.4,1.25024,0.60811,0.95303,0.94148,0.82271,0.88392,0.54218,1.20107,0.57709,0.92122,0.000496,0.000496,0.000496
98,37924.2,1.27195,0.59317,0.96742,0.93438,0.83224,0.88572,0.54873,1.20019,0.57396,0.92093,0.000397,0.000397,0.000397
99,38300.5,1.21551,0.57559,0.96018,0.93596,0.83379,0.88502,0.55009,1.18148,0.56958,0.91766,0.000298,0.000298,0.000298
100,38676.9,1.2118,0.57272,0.96225,0.93568,0.83691,0.88901,0.55394,1.17953,0.56732,0.91719,0.000199,0.000199,0.000199
